id,sample,q_result,new_q_result,final_q_result
36920,8.911409016373186,5,,5.0
45730,2.6040955030125628,3,3.0,3.0
93981,0.33227842316107536,1,,1.0
26676,2.7326403727213133,3,3.0,3.0
35165,1.1795121819224967,2,2.0,2.0
93288,6.001474033580349,4,4.0,4.0
13831,0.17074529894143373,1,,1.0
85097,1.0805161884084125,2,2.0,2.0
8326,4.247112160170398,3,3.0,3.0
89731,3.789882322264211,3,,3.0
92680,1.8953896073493859,2,,2.0
54275,0.03672685336600153,1,,1.0
45259,0.947542304834975,1,1.0,1.0
41600,3.434501387816758,3,,3.0
87966,2.3317913288890035,2,2.0,2.0
87623,0.21770770110373974,1,,1.0
78856,10.76273028226307,5,,5.0
40960,2.7716091206351647,3,3.0,3.0
89896,0.003031139934252597,1,,1.0
25959,6.093706757721212,4,4.0,4.0
8442,3.3830147809464908,3,,3.0
25487,0.032991282862537816,1,,1.0
91843,0.9481825079499964,1,1.0,1.0
88357,4.2742509946276455,3,3.0,3.0
18657,2.5339342544963714,3,3.0,3.0
83184,0.921045784901738,1,1.0,1.0
83384,9.315217022774423,5,,5.0
27006,7.409972108983139,5,,5.0
19573,0.13368132463178184,1,,1.0
11273,0.9126793955394096,1,1.0,1.0
89342,2.0732749766335656,2,,2.0
2781,0.2709799977980582,1,,1.0
14602,13.800873305628397,5,,5.0
56986,1.780334854821544,2,,2.0
18462,0.06452324398893024,1,,1.0
39814,1.3999902260796562,2,,2.0
23851,0.3196146032880837,1,,1.0
31520,2.009316675527604,2,,2.0
81638,1.4863166732585924,2,,2.0
50033,2.7029223739299573,3,3.0,3.0
82763,1.0306551755257136,2,2.0,2.0
8785,5.36526413762879,4,,4.0
94334,0.027036728422260306,1,,1.0
88539,4.3772126770827535,3,3.0,3.0
27065,0.022918833689987567,1,,1.0
89221,0.9873497536349627,1,1.0,1.0
52564,0.5712201275009974,1,,1.0
44645,1.522542281156732,2,,2.0
91176,0.48969995999371196,1,,1.0
90411,11.764066233744083,5,,5.0
83680,6.46752875220586,4,4.0,4.0
79030,5.686535157686549,4,4.0,4.0
34530,0.6566355608534373,1,,1.0
92934,0.827152693851541,1,1.0,1.0
3357,0.9810574309885268,1,1.0,1.0
38809,1.8268098785701776,2,,2.0
12983,1.9774454574426301,2,,2.0
6974,0.033217997215382405,1,,1.0
90528,4.972105721968223,4,,4.0
52411,0.9606464786131589,1,1.0,1.0
93594,0.3457480647967638,1,,1.0
38651,0.3415858675545618,1,,1.0
81759,0.9219878624421978,1,1.0,1.0
92579,4.7597703363582395,4,4.0,4.0
87999,2.2631604843575963,2,2.0,2.0
93166,0.769569795924383,1,1.0,1.0
92203,1.2037512763145373,2,2.0,2.0
13845,1.274290680700162,2,2.0,2.0
78624,1.8448149990602458,2,,2.0
81801,6.867167537066477,5,5.0,5.0
757,0.6836426567902333,1,,1.0
77832,0.6775569417040265,1,,1.0
5743,0.16311927312904279,1,,1.0
52511,4.406742903352845,3,3.0,3.0
36798,3.85109782843368,3,,3.0
90430,15.090566823613978,5,,5.0
50451,0.7805605331184228,1,1.0,1.0
94319,0.0461296166318856,1,,1.0
18210,5.0179131904173975,4,,4.0
80316,1.4836636309037532,2,,2.0
54296,6.969360729220227,5,5.0,5.0
83381,0.268135054130574,1,,1.0
81765,2.896279122003395,3,,3.0
84531,1.5207443255805986,2,,2.0
56730,0.15279901737600746,1,,1.0
55010,9.389563715778486,5,,5.0
82971,2.170149397840659,2,,2.0
25564,0.2046111485015353,1,,1.0
154,7.414566984114777,5,,5.0
79775,1.6300380473928817,2,,2.0
86738,3.9485739046926884,3,,3.0
88603,1.3350256889808372,2,,2.0
12695,9.48229139975863,5,,5.0
86867,3.125259403331248,3,,3.0
92219,1.7540389168431654,2,,2.0
33003,7.375829443782945,5,,5.0
81112,3.353997920484431,3,,3.0
31999,0.30466963265122315,1,,1.0
89956,1.2572102065184998,2,2.0,2.0
14306,2.9512575607019653,3,,3.0
40545,3.401500058889566,3,,3.0
20190,0.9869598044900901,1,1.0,1.0
27255,5.086922082556247,4,,4.0
94833,5.922877005205836,4,4.0,4.0
37804,3.6189636795098767,3,,3.0
40789,4.148082970653794,3,,3.0
50789,4.346995493775416,3,3.0,3.0
91588,4.07235414123491,3,,3.0
8996,3.218915152789602,3,,3.0
89858,0.6397515821152122,1,,1.0
87395,1.0820940537769457,2,2.0,2.0
80268,0.7936295434611372,1,1.0,1.0
45920,2.5579470055549804,3,3.0,3.0
85165,4.911855906435852,4,,4.0
94740,4.379649372197614,3,3.0,3.0
90479,0.09900052653406559,1,,1.0
6685,1.0656000549666866,2,2.0,2.0
3846,0.22175977038838007,1,,1.0
30517,3.6492774978078617,3,,3.0
42911,0.429637463904763,1,,1.0
51290,1.2060689734681314,2,2.0,2.0
45103,0.3799811087481603,1,,1.0
91368,3.5435035796359475,3,,3.0
2954,8.298139550171138,5,,5.0
81636,6.358697718431572,4,4.0,4.0
81271,4.000138021137656,3,,3.0
44422,0.7964503341535879,1,1.0,1.0
55775,1.697869850047041,2,,2.0
84709,3.078797507581069,3,,3.0
55701,3.9340913713403634,3,,3.0
87803,0.625805095805244,1,,1.0
20445,0.19456270362980804,1,,1.0
6443,4.1966639482953365,3,,3.0
80699,1.2082919636926086,2,2.0,2.0
11630,1.2100508408267867,2,2.0,2.0
92391,0.0019468463976252239,1,,1.0
82839,5.067114357450119,4,,4.0
91705,0.8532152030627668,1,1.0,1.0
83929,5.586891801426918,4,4.0,4.0
23488,0.750022066088782,1,1.0,1.0
48414,2.2208403359571327,2,2.0,2.0
35820,2.720552325380598,3,3.0,3.0
88942,0.04162482484539295,1,,1.0
42058,2.411033724431922,2,2.0,2.0
88989,2.8999702336861546,3,,3.0
79811,3.759171781850994,3,,3.0
87014,1.4978353909517912,2,,2.0
50777,4.051313288980225,3,,3.0
30949,0.5841033885199788,1,,1.0
21871,3.7976633591275593,3,,3.0
83766,2.886254712296775,3,,3.0
77948,0.7846340536096632,1,1.0,1.0
19412,1.7618405453343262,2,,2.0
7631,1.279020359914377,2,2.0,2.0
87822,6.8375006881691,5,5.0,5.0
84476,1.2161612241018258,2,2.0,2.0
85400,1.6307726047119275,2,,2.0
85467,3.350090772368542,3,,3.0
49985,3.008098915228016,3,,3.0
51270,3.9115147593681803,3,,3.0
88869,3.5819051057473286,3,,3.0
80796,0.6207349054203442,1,,1.0
94695,4.403145279644236,3,3.0,3.0
31749,1.8255025906275972,2,,2.0
82642,3.867141015198045,3,,3.0
12217,2.3269331579645653,2,2.0,2.0
36845,0.37759443862729813,1,,1.0
45594,2.0054297568537285,2,,2.0
50434,0.5747969455614569,1,,1.0
87347,4.724276691902793,4,4.0,4.0
93989,1.8124901173599384,2,,2.0
34604,0.7037216225291731,1,1.0,1.0
13044,0.4535517854487699,1,,1.0
22743,0.6496438255632015,1,,1.0
2390,2.1835960135068317,2,,2.0
93517,4.566428911234403,4,4.0,4.0
20452,10.417883853127828,5,,5.0
79266,2.3199189802982407,2,2.0,2.0
37487,1.8420486909130336,2,,2.0
91251,0.13914394999400653,1,,1.0
23537,3.7230619038402004,3,,3.0
51861,1.3393579471921828,2,,2.0
44535,2.383604447409717,2,2.0,2.0
28821,4.4425587542273295,3,3.0,3.0
84361,4.733432123273742,4,4.0,4.0
91640,4.092283457315326,3,,3.0
93604,2.3818909254981193,2,2.0,2.0
77941,1.5004259532955095,2,,2.0
1213,2.0266374128149365,2,,2.0
86455,0.009837850302134283,1,,1.0
79914,6.389333960134607,4,4.0,4.0
6000,8.704911563559886,5,,5.0
90680,2.1062737503162166,2,,2.0
94652,3.407656521590513,3,,3.0
11904,1.7770143506104399,2,,2.0
91891,0.8309002057556201,1,1.0,1.0
90387,0.5953661191955478,1,,1.0
33914,0.07410566266808667,1,,1.0
49630,1.0748732255051319,2,2.0,2.0
29038,0.04324241301081514,1,,1.0
4514,5.819835343036524,4,4.0,4.0
25709,2.2866858615811183,2,2.0,2.0
25099,0.9024532927788449,1,1.0,1.0
43166,2.6941652730221923,3,3.0,3.0
55709,0.023370674363011577,1,,1.0
92993,7.837681856948267,5,,5.0
92164,0.4969306068330924,1,,1.0
91301,1.0133492106810376,2,2.0,2.0
86999,2.91352655121647,3,,3.0
85672,0.2732010678486572,1,,1.0
81656,4.6675377692044,4,4.0,4.0
14223,3.4103022780565784,3,,3.0
86377,0.48505429207201084,1,,1.0
22261,2.041326140302409,2,,2.0
22051,5.656603595702771,4,4.0,4.0
16540,3.425815259145451,3,,3.0
79391,2.5404590873872874,3,3.0,3.0
80871,2.9786941549478323,3,,3.0
85570,0.912785260976581,1,1.0,1.0
92119,1.651210724421509,2,,2.0
87132,0.3341850594562447,1,,1.0
82198,4.580376166598337,4,4.0,4.0
23318,12.93818129872102,5,,5.0
84336,4.995484206198379,4,,4.0
42649,4.790151730346279,4,4.0,4.0
80224,4.919457830924545,4,,4.0
92977,0.6912037141060848,1,,1.0
87336,0.06797722864785821,1,,1.0
26088,4.10024033438005,3,,3.0
52087,0.6374817859875995,1,,1.0
93786,3.6282150057754756,3,,3.0
52131,0.16223960350882324,1,,1.0
29695,2.944617230897444,3,,3.0
89407,1.6129214970734145,2,,2.0
33695,4.1209441508430436,3,,3.0
32398,6.411041854287956,4,4.0,4.0
38120,8.327273833891628,5,,5.0
18070,3.8463835001834306,3,,3.0
12641,5.266308351325964,4,,4.0
91614,0.36858261032934475,1,,1.0
19915,2.3901354414554223,2,2.0,2.0
83473,0.259581866733936,1,,1.0
33927,0.48508338024273817,1,,1.0
21479,1.4112478283256413,2,,2.0
87731,5.184636642369875,4,,4.0
86582,0.026271188051873295,1,,1.0
8997,0.7339625445719916,1,1.0,1.0
80583,0.007794345805088319,1,,1.0
49467,4.046492028619371,3,,3.0
26642,1.4799471604401317,2,,2.0
44032,4.864552641495316,4,,4.0
36190,7.072273333369523,5,,5.0
17041,4.418423950084686,3,3.0,3.0
85347,2.186287250596724,2,,2.0
90552,0.35382342472977407,1,,1.0
78271,0.19344468608490692,1,,1.0
54566,6.574026726847286,5,5.0,5.0
78698,1.283606516385669,2,2.0,2.0
89595,1.2356658090563628,2,2.0,2.0
91464,7.835034829594335,5,,5.0
8291,5.651678566291356,4,4.0,4.0
91314,0.36296425156044126,1,,1.0
86931,0.4916075037333863,1,,1.0
40311,5.87643820519096,4,4.0,4.0
78837,0.26238423526765364,1,,1.0
17761,0.061603485077596894,1,,1.0
83257,8.678182395713943,5,,5.0
19001,4.68249826922776,4,4.0,4.0
31201,7.863006987570236,5,,5.0
44803,1.5623558473433568,2,,2.0
92173,4.754575787442637,4,4.0,4.0
89420,7.055847261154536,5,,5.0
86891,1.6895424767398914,2,,2.0
79535,1.1223671570135183,2,2.0,2.0
53969,1.6871267799244458,2,,2.0
22973,3.924656124335921,3,,3.0
80990,6.4761496122925495,4,4.0,4.0
78725,0.14214025349830026,1,,1.0
88211,4.2380438687178605,3,3.0,3.0
