id,sample,q_result,new_q_result,final_q_result,next_yr_ver_q_result
53404,1.2019189190789281,2,2.0,2.0,2
46144,1.1064620954056148,2,2.0,2.0,2
10771,8.906611917828338,5,,5.0,5
6777,1.270943778112276,2,2.0,2.0,2
13481,4.579092469091988,4,4.0,4.0,4
48011,6.334790494648645,4,4.0,4.0,4
2981,0.8080664030035466,1,1.0,1.0,1
32517,5.529662089366349,4,4.0,4.0,4
20495,2.8634269861863495,3,,3.0,3
14035,6.076858885887227,4,4.0,4.0,4
51519,0.3133774055938991,1,,1.0,1
12038,2.7826133126839827,3,3.0,3.0,3
17693,2.3058065755092545,2,2.0,2.0,2
15738,6.513653805092059,5,5.0,5.0,5
39968,3.463153011641395,3,,3.0,3
55011,6.1571062571967525,4,4.0,4.0,4
3909,16.288120645987952,5,,5.0,5
12940,0.24864275872886174,1,,1.0,1
2226,3.9516429912262074,3,,3.0,3
39095,0.13000809889251888,1,,1.0,1
35894,1.5240741912343903,2,,2.0,2
47571,10.329909951501898,5,,5.0,5
38300,1.9666470054065373,2,,2.0,2
35020,4.118518328710791,3,,3.0,3
53457,5.521223519278752,4,4.0,4.0,4
9456,6.353945614556429,4,4.0,4.0,4
43311,1.717126135691321,2,,2.0,2
56319,2.612560238702857,3,3.0,3.0,3
42018,9.940686642909883,5,,5.0,5
16318,3.560826130868076,3,,3.0,3
12168,0.8611817160909175,1,1.0,1.0,1
34156,3.534541937217159,3,,3.0,3
3305,2.8319828760110166,3,,3.0,3
17542,1.7163717163682664,2,,2.0,2
21912,1.194393170974728,2,2.0,2.0,2
12819,5.820937999664811,4,4.0,4.0,4
22875,3.0122290867253465,3,,3.0,3
13006,2.4119458762887604,2,2.0,2.0,2
52456,1.4368595921741805,2,,2.0,2
45665,2.2248931130392973,2,2.0,2.0,2
35128,6.877225789328229,5,5.0,5.0,5
50228,0.32414422882733607,1,,1.0,1
53693,0.2790882082465947,1,,1.0,1
8769,1.4289044061257594,2,,2.0,2
23566,5.843805128352424,4,4.0,4.0,4
39501,0.7921429899404452,1,1.0,1.0,1
6420,0.4577224245344516,1,,1.0,1
46233,11.888953628603069,5,,5.0,5
6141,3.206938832413011,3,,3.0,3
15088,3.9004929390721754,3,,3.0,3
14492,1.5344481033648252,2,,2.0,2
39507,0.3307939592316604,1,,1.0,1
32843,2.520809094687898,3,3.0,3.0,3
5189,0.8258638011143792,1,1.0,1.0,1
37884,5.748941909112276,4,4.0,4.0,4
3403,2.7840489874309964,3,3.0,3.0,3
34604,0.7391617240918675,1,1.0,1.0,1
45772,1.2534367675196263,2,2.0,2.0,2
49233,1.2911837617878554,2,2.0,2.0,2
15327,2.9001299377168537,3,,3.0,3
25712,3.759451472802454,3,,3.0,3
41555,0.14149239805333405,1,,1.0,1
48453,9.381188965836236,5,,5.0,5
6657,1.195276810156326,2,2.0,2.0,2
4214,2.901334869949706,3,,3.0,3
25006,2.5216082809948888,3,3.0,3.0,3
23378,1.9165638853236981,2,,2.0,2
27775,0.3775872248213936,1,,1.0,1
48164,1.0936019528292455,2,2.0,2.0,2
26121,6.775284237483551,5,5.0,5.0,5
56829,2.3824707170208765,2,2.0,2.0,2
56958,0.40218532168327187,1,,1.0,1
44007,9.653449885082294,5,,5.0,5
1803,4.59438959335941,4,4.0,4.0,4
56395,0.747172827747228,1,1.0,1.0,1
45808,7.915337850388837,5,,5.0,5
22607,5.55774270965609,4,4.0,4.0,4
55184,1.3136513969397958,2,,2.0,2
7224,0.3280693821586522,1,,1.0,1
52352,1.9405822211506674,2,,2.0,2
23178,1.0106637205471478,2,2.0,2.0,2
21994,7.781342877407714,5,,5.0,5
41844,3.243975482437462,3,,3.0,3
38756,0.07859924439044541,1,,1.0,1
24856,6.9109975608125875,5,5.0,5.0,5
51681,0.3487955660197255,1,,1.0,1
16186,1.801610010620756,2,,2.0,2
29022,1.6832153145131392,2,,2.0,2
36250,0.9844582704702578,1,1.0,1.0,1
22949,2.364779963133543,2,2.0,2.0,2
42136,1.4667790333004862,2,,2.0,2
22076,3.9524480646399502,3,,3.0,3
49829,4.417999484665256,3,3.0,3.0,3
33317,0.39955429287244587,1,,1.0,1
44422,0.288024595327181,1,,1.0,1
10195,0.005049294651268086,1,,1.0,1
15959,6.544570668310154,5,5.0,5.0,5
50482,1.6528622787465546,2,,2.0,2
46947,6.461112467673195,4,4.0,4.0,4
42321,4.407954514682274,3,3.0,3.0,3
30885,0.46333013809005646,1,,1.0,1
4676,4.098440437278036,3,,3.0,3
45217,5.913477875971782,4,4.0,4.0,4
54278,1.4906263640898292,2,,2.0,2
12540,2.9764371796390927,3,,3.0,3
54717,3.6417085914577187,3,,3.0,3
20809,1.9498198960836606,2,,2.0,2
39209,2.805257529719745,3,,3.0,3
12576,6.480062539969281,4,4.0,4.0,4
32432,1.5078300393668869,2,,2.0,2
16757,0.3399482797883671,1,,1.0,1
34048,0.8733635481774771,1,1.0,1.0,1
11469,4.489573899036833,3,3.0,3.0,3
3593,0.5819807573845206,1,,1.0,1
38066,3.2476749425203777,3,,3.0,3
20724,1.5501018678527352,2,,2.0,2
6107,5.125902811713828,4,,4.0,4
11771,0.5993680487981216,1,,1.0,1
51777,0.41724615013899224,1,,1.0,1
24721,2.0594046700520106,2,,2.0,2
52551,1.0875203373471667,2,2.0,2.0,2
42049,1.5807525578911215,2,,2.0,2
49766,1.5992889180534202,2,,2.0,2
40789,0.8634782541980817,1,1.0,1.0,1
32020,5.327127455318495,4,,4.0,4
37484,4.586419918562568,4,4.0,4.0,4
56927,0.3802689525799871,1,,1.0,1
39004,1.6416054280153118,2,,2.0,2
53827,0.1523815644531399,1,,1.0,1
48361,0.42798587876417904,1,,1.0,1
11878,0.9261588180643227,1,1.0,1.0,1
3731,1.3368707184127633,2,,2.0,2
46201,4.844578510909342,4,,4.0,4
10823,8.396890857867183,5,,5.0,5
37415,0.4065298394988608,1,,1.0,1
6082,2.9204198178551626,3,,3.0,3
9526,0.709764736030885,1,1.0,1.0,1
48941,0.955093355859139,1,1.0,1.0,1
48119,3.818947454130871,3,,3.0,3
7669,0.20386025277532158,1,,1.0,1
8334,6.029131088730847,4,4.0,4.0,4
27257,7.63615582654245,5,,5.0,5
40021,0.4164057622015042,1,,1.0,1
45304,0.4994848382159419,1,,1.0,1
6800,4.382397452509319,3,3.0,3.0,3
33956,1.506525318310628,2,,2.0,2
14010,0.07632073967433914,1,,1.0,1
36888,0.5988246342069785,1,,1.0,1
22313,3.155392853173353,3,,3.0,3
23092,2.2191667555947547,2,2.0,2.0,2
27576,2.729643041943058,3,3.0,3.0,3
39330,5.1033046433872755,4,,4.0,4
23738,2.634020948805044,3,3.0,3.0,3
33759,7.516174508882281,5,,5.0,5
42767,2.653207639890616,3,3.0,3.0,3
14624,5.32137337664274,4,,4.0,4
16777,2.5472413375744076,3,3.0,3.0,3
44235,0.21061417616077527,1,,1.0,1
53434,0.6627186526771944,1,,1.0,1
29485,8.241429964511347,5,,5.0,5
44768,2.110391968409348,2,,2.0,2
20028,3.6202731509307995,3,,3.0,3
4164,0.933596343162196,1,1.0,1.0,1
28800,3.0736134338878083,3,,3.0,3
3625,7.73471491811726,5,,5.0,5
44096,1.8277392672559407,2,,2.0,2
42471,1.5892500464321184,2,,2.0,2
29487,0.8263933000431927,1,1.0,1.0,1
